preset,threshold,n_params,keras_test_auc,keras_test_accuracy,tflite_f32_size_kb,tflite_int8_size_kb,compression_ratio,tflite_f32_auc,tflite_int8_auc,tflite_f32_accuracy,tflite_int8_accuracy,accuracy_drop_from_quantization,tflite_f32_latency_ms,tflite_int8_latency_ms
tiny,0.016932033002376556,5433,1.0,0.9983333333333333,24.83203125,11.671875,2.1275100401606424,1.0,1.0,0.9983333333333333,1.0,-0.0016666666666667052,0.22706399999151472,0.38803199993708404
small,0.7976548671722412,20849,0.7921888888888888,0.705,84.55078125,27.953125,3.0247344885410845,0.7921888888888888,0.7917944444444445,0.705,0.7,0.0050000000000000044,0.4307400000470807,0.48614400020596804
medium,0.9840124249458313,81633,1.0,0.9966666666666667,320.91015625,89.6796875,3.5784040421639514,1.0,1.0,0.9966666666666667,0.9983333333333333,-0.0016666666666665941,1.5774169996802812,1.3944650000121328
